33,Frontdoor Developments (Palmerston) Inc,"1 West Pearce Dt, Ste 401",Richmond Hill,Ontario,L4B 3K3,905-886-8287,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
34,1558000 Ontario Inc,150 Barton Rd,Toronto,Ontario,M9M 1H1,416-742-6299,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
35,Wasaga Beach Lux Ltd,"4205 Keele St, Units 1 &amp;amp; 2",North York,Ontario,M3J 3T8,,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
36,Plazacorp Investments Ltd,"10 Wanless Ave, Ste 201",Toronto,Ontario,M4N 1V6,416-481-2222,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
37,The Sierra Plus Corporation,14 Taos Ct,,,L4C 0G5,,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
38,AK Yonge Inc,29 East Wilmot St,Richmond Hill,Ontario,L4B 1A3,,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
39,Northwest Stratford (2016),"1255 Commissioners Rd W, Ste 225",,,N6K 3N5,,2022-04-26,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
40,Quinlan Road Developments GP Inc,"6783 Wellington Rd 34, RR 22",Cambridge,Ontario,N3C 2V4,,2022-04-26,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
41,Explorer Drive Equities Inc,"77 King St W, Ste 4510",Toronto,Ontario,M5K 1J3,,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
42,Longview Aviation Properties Inc,"747 Fort St, Ste 1100",Victoria,Ontario,V8W 3E9,,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
43,2036353 Ontario Inc,8600 Dufferin St,,,L4K 5P5,,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
44,New Horizon Development Group,"3170 Harvester Rd, Ste 200",Burlington,Ontario,L7N 3W8,905-777-0000,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
45,Lo-Well (1990) Holdings Inc,36 Urbandale Ave,,,M2M 2H1,,2022-04-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
46,Spotlight Development Inc,"550 Queen St E, Ste 200",Toronto,Ontario,M5A 1V2,905-695-9052,2022-04-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
47,Daniels HR Corp,130 Queens Quay E,Toronto,Ontario,M5A 0P6,416-598-2129,2022-04-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
48,KPMR Investments Inc,"7470 Airport Rd, 2nd Flr",Mississauga,Ontario,L4T 2H5,905-677-5555,2022-04-21,kromerinvestments.com,,2024-06-04 13:12:43,'2023-10-30 12:42:37')
49,Mac&#039;s Convenience Stores Inc,"305 Milner Ave, Ste 400",Toronto,Ontario,M1B 3V4,800-268-5574,2022-04-20,circlek.com,,2023-12-02 13:14:12,'2023-10-30 12:42:37')
50,Elm Developments,1931 Highway 7,Concord,Ontario,L4K 1V5,905-709-8232,2022-04-20,elmdevelopments.com,,2023-12-02 13:16:40,'2023-10-30 12:42:37')
51,Crowley Farms Norwood Ltd,2107 County Rd 45,,,K0L 2V0,,2022-04-20,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
52,HBNG (Norwood) Developments Inc,161 Trade Valley Dr,Vaughan,Ontario,L4H 3N6,905-738-8640,2022-04-20,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
53,The Lora Bay Corp,"40 Huron St, Ste 300",,,L9Y 4R3,,2022-04-19,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
54,Great Gulf Corp,"351 King St E, Ste 1300",Toronto,Ontario,M5A 0L6,416-449-1340,2022-04-19,greatgulf.com,,2023-12-02 13:33:33,'2023-10-30 12:42:37')
55,Aecon Construction And Materials Ltd,"20 Carlson Ct, Ste 800",,,M9W 7K6,,2023-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
56,Aecon Infrastructure Management Inc,"20 Carlson Ct, Ste 800",Toronto,Ontario,M9W 7K6,,2023-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
57,2707130 Ontario Inc,90 Samnah Cres,,,N5C 3J7,,2023-04-18,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
58,1000501785 Ontario Inc,15 Krarmer&#039;s Way,Brantford,Ontario,N3V 0A6more info: mi.pdf,,2023-04-18,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
59,Flato Upper Markham Village Inc,3621 Highway 7 E,,,L3R 0G6,,2023-04-11,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
60,Torca UMV Inc,"20 Holly St, Ste 103",Toronto,Ontario,M4N ,,2023-04-11,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
61,Hert Inc,,,,L0S 1E0,,2023-04-05,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
62,Mountainview Homes (Niagara) Ltd,"3340 Schmon Parkway, Unit 1",Thorold,Ontario,L2V 4Y6more info: mi.pdf,905-688-3100,2023-04-05,mountainview.com,,2023-12-02 13:14:53,'2023-10-30 12:42:37')
63,Named Individual(s),,,,,,2023-04-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
64,Bradgate Investments Ltd,"3520 Pharmacy Ave, Unit 1",Toronto,Ontario,M1W 2T8,416-499-4900,2023-04-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
65,Albert Bloom Ltd,"2171 Avenue Rd, Ste 200",,,M5M 4B4,,2022-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
66,The Jansusie Ltd,"14-3650 Langstaff Rd, Ste 274",Woodbridge,Ontario,L4L 9A8,,2022-08-31,aegisliving.com,,2023-12-09 16:47:03,'2023-10-30 12:42:37')
67,Elison Developments Inc,"1315 Michigan Ave, Unit D",,,N7S 4M6,,2022-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
68,E-Star International Inc,"259 Steelcase Rd W, Ste 2",Markham,Ontario,L3R 2P6,905-754-0088,2022-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
69,KS 181 Whitehall Drive Inc,"100 King St W, Ste 6200",Toronto,Ontario,M5X 1B8,416-687-6700,2022-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
70,1000226982 Ontario Ltd,375 Edward Ave,Richmond Hill,Ontario,L4C 5E5,,2022-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
71,Borani Inc,300 Allstate Pkwy,,,L3R 0P2,,2022-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
72,Marcantonio Designs,227 Courtland Ave,Vaughan,Ontario,L4K 4T2,905-660-3178,2022-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
73,TCK 2 Corp,"26 Lesmill Rd, Unit 3",,,M3B 2T5,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
74,Basin Media Studios GP Inc,4060 Ince Blvd,Culver City,California,USA - 90232,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
75,Dogliola Developments Ltd,"1681 Langstaff Rd, Unit 1",,,L4K 5T3,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
76,Greenpark Homes,8700 Dufferin St,Concord,Ontario,L4K 4S6,416-661-5329,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
77,Perspective Developments Ltd,"3250 Bloor St W,",Toronto,Ontario,M8X 2X9,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
78,Pianosi Bros Construction Ltd,3250 Bloor St W,Toronto,Ontario,M8X 2X9,416-231-1297,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
79,Hamilton-Wentworth District School Board,20 Education Ct,Hamilton,Ontario,L9A 0B9,905-527-5092,2022-08-26,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
80,Guido de Bres Canadian Reformed,420 Crerar Dr,Hamilton,Ontario,L9A 5K3more info: mi.pdf,905-574-4011,2022-08-26,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
81,1990 Ellesmere Ltd,"2100 Ellesmere Rd, Ste 200",,,M1H 3B7,,2022-08-18,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
82,Northbridge Investment Management Inc,"1220 Yonge St, Ste 400",Toronto,Ontario,M4T 1W1,416-309-9241,2022-08-18,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
83,SRF5 Kawartha Lakes Centre Inc,"2 Bloor St W, Ste 1001",,,M4W 3E2,,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
84,Valiant Rental Inc,"177 Nonquon Rd, 20th Flr",Oshawa,Ontario,L1G 3S2,905-579-1626,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
85,Paul Macpherson and Associates Ltd,"55 Water St W, Ste 200",,,K6H 7J3,,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
86,2630432 Ontario Inc,"55 Water St W, Ste 200",Cornwall,Ontario,K6H 7J3,,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
87,Crestpoint Real Estate (Sorcrest) Inc,"181 University Ave, Ste 300",,,M5H 3M7,,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
88,Groupe Monaco,3455 Jarry East,Montreal,Quebec,H1Z 2G1,800-361-0578,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
89,Mac&#039;s Convenience Stores Inc,"305 Milner Ave, Ste 400",Toronto,Ontario,M1B 3V4,800-268-5574,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
90,The Fueling Station,2 King West Holdings Inc&amp;nbsp; &amp;nbsp; &amp;nbsp;416-703-2151,Toronto,Ontario,M6K 3G3,416-703-2151,2022-08-16,thefuelingstation.com,,2023-12-02 13:14:12,'2023-10-30 12:42:37')
91,100 Lombard Street Inc,"134 Peter St, Ste 1700",,,M5V 2H2,,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
92,Forum Equity Partners,"181 Bay St, EP 210",Toronto,Ontario,M5J 2T3,416-947-0389,2022-08-16,forumequitypartners.com,,2023-12-02 13:15:16,'2023-10-30 12:42:37')
93,Radha Properties Inc,25 Maclean Ave,,,M4E 2Z8,,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
94,Urban Capital ,17 Nelson St,Toronto,Ontario,M5V 0G2,416-304-0431,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
95,Paccar Financial Services Ltd,,,,,,2022-08-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
96,1000005565 Ontario Inc,119 East Dr,Brampton,Ontario,L6T 1B5,,2022-08-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
97,2648607 Ontario Inc,"7007 Islington Ave, Unit 1",,,L4L 4T5,,2022-08-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
98,GG Humber Station Road Inc,2592 Burslem Rd,Mississauga,Ontario,L5A 2R6,,2022-08-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
99,Norco Management Inc,1465 Kebet Way,,,V3C 6L3,,2022-08-12,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
100,Lorwood Holdings Inc,"3100 Rutherford Rd, Ste 402",Concord,Ontario,L4K 0G6,,2022-08-12,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
101,Mt Pleasant (51-1) Inc,425 Adelaide St W,,,M5V 3C1,,2022-08-12,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
102,Peel District School Board,5650 Hurontario St,Mississauga,Ontario,L3R 1C6,905-890-1010,2022-08-12,peelschools.org,,2023-12-02 13:14:12,'2023-10-30 12:42:37')
103,161 Athol Street GP Ltd,"2275 Upper Middle Rd E, Ste 700",,,L6H 0C3,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
104,Forum Equity Partners,181 Bay St,Toronto,Ontario,M5J 2T3,416-947-0389,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
105,The Hi-Tech Gears Canada Inc,361 Speedvale Ave W,Guelph,Ontario,N1H 1C7,519-836-3180,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
106,1787377 Ontario Inc,99 First Gulf Blvd,Brampton,Ontario,L6W 4T8,,2023-08-31,symbanlighting.ca,,2023-12-02 13:38:00,'2023-10-30 12:42:37')
107,2577310 Ontario Inc,41 Marsh Harbour,,,L4G 5Y7,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
108,Zenan Glass Realty Corp,14922 Bathurst St,King City,Ontario,L7B 1K5,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
109,2695285 Ontario Ltd,"4085 Parkside Village Dr, Unit 524",,,L5B 0K9,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
110,King Cole Corp,15351 Warden Ave,Stouffville,Ontario,L4A 2V5,800-363-3825,2023-08-31,kingcole.net,,2023-12-02 13:14:13,'2023-10-30 12:42:37')
111,Forge &amp; Foster Partners Inc,29 Harriet St,Hamilton,Ontario,L8R 2E5,888-410-9440,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
112,1000601284 Ontario Inc,1225 Balmoral Rd,Cambridge,Ontario,N1T 1A4,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
113,RG Dibble Company Ltd,53 Eastbourne Ave,,,M5P 2G1,,2023-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
114,Forager Real Estate Partners,"52 Scarsdale Rd,",Toronto,Ontario,M3B 2R7,416-580-9700,2023-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
115,InterRent International Properties Inc,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2023-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
116,A1 Development,75 Scarsdale Rd,North York,Ontario,M3B 2R2,647-242-9869,2023-08-30,a1developmentsolutions.com,,2024-04-16 14:50:59,'2023-10-30 12:42:37')
117,N Sawatzky Farms Inc,340 Robson Rd,,,N8H 0A4,,2023-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
118,1000597948 Ontario Ltd,821 Mersea Rd 11,Staples,Ontario,N0P 2J0,,2023-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
119,Spectrum Educational Supplies Ltd/,"675 Harwood Ave N, Unit 3",Ajax,Ontario,L1Z 0K4,800-668-0600,2023-08-29,spectrum-nasco.ca,,2023-12-02 13:15:27,'2023-10-30 12:42:37')
120,1000084199 Ontario Inc,150 Pony Dr,Newmarket,Ontario,L3Y 7B6,,2023-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
121,Format Queensway Inc,"5050 Dufferin St, Ste 120",,,M3H 5T5,,2023-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
122,Equiton,"1111 International Blvd, Ste 500",Burlington,Ontario,L7L 6W1,905-635-1381,2023-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
123,1705 Weston Road Holdings Ltd,"1001 Champlain Ave, Ste 302",,,L7L 5Z4,,2023-08-25,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
124,Altree Developments,"2828 Bathurst St, Ste 300",Toronto,Ontario,M9B 3A7,647-715-5711,2023-08-25,altreedev.com,,2023-12-02 13:14:47,'2023-10-30 12:42:37')
125,5009823 Ontario Inc,"3976 Portage Rd, Unit 2",,,L2J 2K9,,2023-08-24,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
126,2627781 Ontario Inc,578 Welland Rd,Fenwick,Ontario,L0S 1C0,905-892-4923,2023-08-24,hert-kranservice.de,,2023-12-09 16:46:54,'2023-10-30 12:42:37')
127,Petek LLP,3705 Lindsay Rd,,,USA - 98247,,2023-08-24,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
128,Princess Group,25 Sable St,Toronto,Ontario,M6M 3K8,416-787-6633,2023-08-24,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
129,10969362 Canada Inc,130 Delta Park Blvd,,,L6T 5E7,,2023-08-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
130,2852804 Ontario Ltd,13997 Kennedy Rd,Caledon,Ontario,L7C 2H3,,2023-08-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
131,Caledon Terra Investments Inc,"145 Reynolds St, Ste 400",,,L6J 0A7,,2023-08-08,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
132,Townwood Homes (Caledon) Inc,"1 Bradwick Dr, Units 1 &amp;amp; 2",Concord,Ontario,L4K 2T4more info: mi.pdf,905-669-1615,2023-08-08,townwoodhomes.com,,2023-12-09 16:46:08,'2023-10-30 12:42:37')
133,Named Individual(s),,,,,,2023-08-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
134,Britannia Road Investments Inc,"270 Orenda Rd, Unit 200",Brampton,Ontario,L6t 4X6,,2023-08-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
135,1635 Dundas Street East Inc,"245 Yorkland Blvd, Ste 200",,,M2J 4W9,,2023-08-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
136,The Regional Municipality of Durham,605 Rossland Rd E,Whitby,Ontario,L1N 6A3,905-668-7711,2023-08-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
137,Milton Land Four Investments Ltd,480 Main St N,Brampton,Ontario,L6V 1P8,905-452-1945,2023-08-02,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
138,Schlegel Villages Inc,"325 Max Becker Dr, Ste 201",Kitchener,Ontario,N2E 4H5,519-571-1873,2023-08-02,schlegelvillages.com,,2023-12-02 13:15:38,'2023-10-30 12:42:37')
139,Royal Pine Homes,"3550 Langstaff Rd, Ste 200",Woodbridge,Ontario,L4L 9G3,905-856-2150,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
140,Resolute FP Canada Inc,"1010 de la Gauchetiere St W, Ste 400",Montreal,Quebec,H3B 2N2,514-875-2160,2023-08-01,resolutetissue.com,,2023-12-02 13:14:13,'2023-10-30 12:42:37')
141,Thunder Bay Pulp and Paper Inc,2001 Neebing Ave,Thunder Bay,Ontario,P7E 6S3,,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
142,1000535725 Ontario Inc,30 Water St N,Kitchener,Ontario,N2H 5A8,,2023-08-01,streeteasy.com,,2023-12-09 16:46:31,'2023-10-30 12:42:37')
143,CB Bridle Path Inc,"3791-A Bathurst St, 2nd Flr",,,M3H 3N1,,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
144,Times Group Corp,"3985 Highway 7 E, Ste 202",Markham,Ontario,L3R 2A2,905-940-6286,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
145,1000588354 Ontario Inc,"160 Elgin St, Ste 2600",Ottawa,Ontario,K1P 1C3,613-233-1781,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
146,Brooklin Garrard Inc,"185 The West Mall, Ste 710",,,M9C 5L5,,2022-12-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
147,Groupe Touchette Inc,9000 boul Saint-Laurent,Montreal,Quebec,H2N 1M7,514-381-1716,2022-12-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
148,City of Ottawa,110 Laurier Ave W,Ottawa,Ontario,K1P 1J1,613-580-2400,2022-12-23,ottawa.ca,,2023-12-09 16:46:04,'2023-10-30 12:42:37')
149,The Regional Group,"1737 Woodward Dr, 2nd Flr",Ottawa,Ontario,K2C 0P9,613-230-2100,2022-12-23,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
150,First Capital Realty Inc,,Toronto,Ontario,M6K 3S3,416-504-4114,2022-12-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
151,Woodbourne Capital Management Inc,"8 Spadina Ave, Ste 3300",Toronto,Ontario,M5V 0S8,416-867-9901,2022-12-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
152,The Canada Life Assurance Co,"30 Yonge St, Ste 1000",Toronto,Ontario,M5E 1G4,416-507-2929,2022-12-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
153,JSM Corporation (Ontario) Ltd,"819 Gerrard St E, Ste 2",Toronto,Ontario,M4M 1Y8,647-349-7567,2022-12-22,jsmcorporation.ca,,2023-12-02 13:15:48,'2023-10-30 12:42:37')
154,2864437 Ontario Inc,10  Wilfrid Laurier Cres,,,L2P 0A1,,2022-12-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
155,Mountainview Building Group,"3350 Merrittville Hwy, Ste 9",Thorold,Ontario,L2V 4Y6,905-688-3100,2022-12-21,mountainview.com,,2023-12-02 13:14:13,'2023-10-30 12:42:37')
156,2716682 Ontario Inc,40 King St W,Toronto,Ontario,M5H 3Y2,,2022-12-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
157,The Sud Group,"15 Hove St, Ste 222",Toronto,Ontario,M3H 4Y8,416-638-9222,2022-12-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
158,2180187 Ontario Inc,"200 Bay St, Ste 3800",Toronto,Ontario,M5J 2J1,,2022-12-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
159,Fiera Real Estate Small Cap,"200 Bay St, Ste 3800",Toronto,Ontario,M5J 2J1,844-431-7684,2022-12-21,fierarealestate.com,,2023-12-02 13:35:32,'2023-10-30 12:42:37')
160,Staples Professional Inc,6 Staples Ave,Richmond Hill,Ontario,L4B 4W3,905-737-1147,2022-12-20,staples.com,,2023-12-02 13:17:11,'2023-10-30 12:42:37')
161,DTSY Commercial Investments Inc,48 Tewsley Place,Toronto,Ontario,M9P 1N7,,2022-12-20,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
162,Her Majesty the Queen in Right of Canada,191 Promenade du Portage,Gatineau,Quebec,K1A 0S5,,2022-12-19,fastener-world.com.tw,,2024-04-16 14:48:45,'2023-10-30 12:42:37')
